epoch,split,length_bucket,correct,total,sequence_accuracy
40,val,40-49,0,5,0.0
40,val,50-59,0,3,0.0
40,val,60-69,0,2,0.0
40,val,70-79,0,1,0.0
41,val,0-9,1206,2553,0.47238542890716806
41,val,10-19,392,795,0.4930817610062893
41,val,100-109,0,1,0.0
41,val,20-29,0,68,0.0
41,val,30-39,0,21,0.0
41,val,40-49,0,5,0.0
41,val,50-59,0,3,0.0
41,val,60-69,0,2,0.0
41,val,70-79,0,1,0.0
42,val,0-9,1244,2553,0.4872698785742264
42,val,10-19,388,795,0.4880503144654088
42,val,100-109,0,1,0.0
42,val,20-29,0,68,0.0
42,val,30-39,0,21,0.0
42,val,40-49,0,5,0.0
42,val,50-59,0,3,0.0
42,val,60-69,0,2,0.0
42,val,70-79,0,1,0.0
43,val,0-9,1244,2553,0.4872698785742264
43,val,10-19,381,795,0.47924528301886793
43,val,100-109,0,1,0.0
43,val,20-29,0,68,0.0
43,val,30-39,0,21,0.0
43,val,40-49,0,5,0.0
43,val,50-59,0,3,0.0
43,val,60-69,0,2,0.0
43,val,70-79,0,1,0.0
44,val,0-9,1256,2553,0.4919702311006659
44,val,10-19,404,795,0.5081761006289308
44,val,100-109,0,1,0.0
44,val,20-29,0,68,0.0
44,val,30-39,0,21,0.0
44,val,40-49,0,5,0.0
44,val,50-59,0,3,0.0
44,val,60-69,0,2,0.0
44,val,70-79,0,1,0.0
45,val,0-9,1241,2553,0.48609479044261655
45,val,10-19,401,795,0.5044025157232704
45,val,100-109,0,1,0.0
45,val,20-29,0,68,0.0
45,val,30-39,0,21,0.0
45,val,40-49,0,5,0.0
45,val,50-59,0,3,0.0
45,val,60-69,0,2,0.0
45,val,70-79,0,1,0.0
46,val,0-9,1251,2553,0.4900117508813161
46,val,10-19,406,795,0.5106918238993711
46,val,100-109,0,1,0.0
46,val,20-29,0,68,0.0
46,val,30-39,0,21,0.0
46,val,40-49,0,5,0.0
46,val,50-59,0,3,0.0
46,val,60-69,0,2,0.0
46,val,70-79,0,1,0.0
47,val,0-9,1254,2553,0.491186839012926
47,val,10-19,402,795,0.5056603773584906
47,val,100-109,0,1,0.0
47,val,20-29,0,68,0.0
47,val,30-39,0,21,0.0
47,val,40-49,0,5,0.0
47,val,50-59,0,3,0.0
47,val,60-69,0,2,0.0
47,val,70-79,0,1,0.0
48,val,0-9,1264,2553,0.4951037994516255
48,val,10-19,417,795,0.5245283018867924
48,val,100-109,0,1,0.0
48,val,20-29,0,68,0.0
48,val,30-39,0,21,0.0
48,val,40-49,0,5,0.0
48,val,50-59,0,3,0.0
48,val,60-69,0,2,0.0
48,val,70-79,0,1,0.0
49,val,0-9,1289,2553,0.5048962005483745
49,val,10-19,423,795,0.5320754716981132
49,val,100-109,0,1,0.0
49,val,20-29,0,68,0.0
49,val,30-39,0,21,0.0
49,val,40-49,0,5,0.0
49,val,50-59,0,3,0.0
49,val,60-69,0,2,0.0
49,val,70-79,0,1,0.0
50,val,0-9,1272,2553,0.4982373678025852
50,val,10-19,411,795,0.5169811320754717
50,val,100-109,0,1,0.0
50,val,20-29,0,68,0.0
50,val,30-39,0,21,0.0
50,val,40-49,0,5,0.0
50,val,50-59,0,3,0.0
50,val,60-69,0,2,0.0
50,val,70-79,0,1,0.0
51,val,0-9,1277,2553,0.500195848021935
51,val,10-19,414,795,0.5207547169811321
51,val,100-109,0,1,0.0
51,val,20-29,0,68,0.0
51,val,30-39,0,21,0.0
51,val,40-49,0,5,0.0
51,val,50-59,0,3,0.0
51,val,60-69,0,2,0.0
51,val,70-79,0,1,0.0
52,val,0-9,1246,2553,0.4880532706619663
52,val,10-19,418,795,0.5257861635220126
52,val,100-109,0,1,0.0
52,val,20-29,0,68,0.0
52,val,30-39,0,21,0.0
52,val,40-49,0,5,0.0
52,val,50-59,0,3,0.0
52,val,60-69,0,2,0.0
52,val,70-79,0,1,0.0
53,val,0-9,1267,2553,0.4962788875832354
53,val,10-19,416,795,0.5232704402515723
53,val,100-109,0,1,0.0
53,val,20-29,0,68,0.0
53,val,30-39,0,21,0.0
53,val,40-49,0,5,0.0
53,val,50-59,0,3,0.0
53,val,60-69,0,2,0.0
53,val,70-79,0,1,0.0
54,val,0-9,1273,2553,0.49862906384645517
54,val,10-19,415,795,0.5220125786163522
54,val,100-109,0,1,0.0
54,val,20-29,0,68,0.0
54,val,30-39,0,21,0.0
54,val,40-49,0,5,0.0
54,val,50-59,0,3,0.0
54,val,60-69,0,2,0.0
54,val,70-79,0,1,0.0
55,val,0-9,1301,2553,0.509596553074814
55,val,10-19,425,795,0.5345911949685535
55,val,100-109,0,1,0.0
55,val,20-29,0,68,0.0
55,val,30-39,0,21,0.0
55,val,40-49,0,5,0.0
55,val,50-59,0,3,0.0
55,val,60-69,0,2,0.0
55,val,70-79,0,1,0.0
56,val,0-9,1271,2553,0.49784567175871525
56,val,10-19,424,795,0.5333333333333333
56,val,100-109,0,1,0.0
56,val,20-29,0,68,0.0
56,val,30-39,0,21,0.0
56,val,40-49,0,5,0.0
56,val,50-59,0,3,0.0
56,val,60-69,0,2,0.0
56,val,70-79,0,1,0.0
57,val,0-9,1301,2553,0.509596553074814
57,val,10-19,423,795,0.5320754716981132
57,val,100-109,0,1,0.0
57,val,20-29,0,68,0.0
57,val,30-39,0,21,0.0
57,val,40-49,0,5,0.0
57,val,50-59,0,3,0.0
57,val,60-69,0,2,0.0
57,val,70-79,0,1,0.0
58,val,0-9,1276,2553,0.49980415197806505
58,val,10-19,426,795,0.5358490566037736
58,val,100-109,0,1,0.0
58,val,20-29,0,68,0.0
58,val,30-39,0,21,0.0
58,val,40-49,0,5,0.0
58,val,50-59,0,3,0.0
58,val,60-69,0,2,0.0
58,val,70-79,0,1,0.0
59,val,0-9,1289,2553,0.5048962005483745
59,val,10-19,425,795,0.5345911949685535
59,val,100-109,0,1,0.0
59,val,20-29,0,68,0.0
59,val,30-39,0,21,0.0
59,val,40-49,0,5,0.0
59,val,50-59,0,3,0.0
59,val,60-69,0,2,0.0
59,val,70-79,0,1,0.0
60,val,0-9,1303,2553,0.5103799451625538
60,val,10-19,433,795,0.5446540880503145
60,val,100-109,0,1,0.0
60,val,20-29,0,68,0.0
60,val,30-39,0,21,0.0
60,val,40-49,0,5,0.0
60,val,50-59,0,3,0.0
60,val,60-69,0,2,0.0
60,val,70-79,0,1,0.0
61,val,0-9,1283,2553,0.5025460242851547
61,val,10-19,427,795,0.5371069182389937
61,val,100-109,0,1,0.0
61,val,20-29,0,68,0.0
61,val,30-39,0,21,0.0
61,val,40-49,0,5,0.0
61,val,50-59,0,3,0.0
61,val,60-69,0,2,0.0
61,val,70-79,0,1,0.0
62,val,0-9,1295,2553,0.5072463768115942
62,val,10-19,431,795,0.5421383647798742
62,val,100-109,0,1,0.0
62,val,20-29,0,68,0.0
62,val,30-39,0,21,0.0
62,val,40-49,0,5,0.0
62,val,50-59,0,3,0.0
62,val,60-69,0,2,0.0
62,val,70-79,0,1,0.0
63,val,0-9,1301,2553,0.509596553074814
63,val,10-19,436,795,0.5484276729559748
63,val,100-109,0,1,0.0
63,val,20-29,0,68,0.0
63,val,30-39,0,21,0.0
63,val,40-49,0,5,0.0
63,val,50-59,0,3,0.0
63,val,60-69,0,2,0.0
63,val,70-79,0,1,0.0
64,val,0-9,1305,2553,0.5111633372502937
64,val,10-19,436,795,0.5484276729559748
64,val,100-109,0,1,0.0
64,val,20-29,0,68,0.0
64,val,30-39,0,21,0.0
64,val,40-49,0,5,0.0
64,val,50-59,0,3,0.0
64,val,60-69,0,2,0.0
64,val,70-79,0,1,0.0
65,val,0-9,1314,2553,0.5146886016451234
65,val,10-19,440,795,0.5534591194968553
65,val,100-109,0,1,0.0
65,val,20-29,0,68,0.0
65,val,30-39,0,21,0.0
65,val,40-49,0,5,0.0
65,val,50-59,0,3,0.0
65,val,60-69,0,2,0.0
65,val,70-79,0,1,0.0
66,val,0-9,1306,2553,0.5115550332941637
66,val,10-19,439,795,0.5522012578616352
66,val,100-109,0,1,0.0
66,val,20-29,0,68,0.0
66,val,30-39,0,21,0.0
66,val,40-49,0,5,0.0
66,val,50-59,0,3,0.0
66,val,60-69,0,2,0.0
66,val,70-79,0,1,0.0
67,val,0-9,1319,2553,0.5166470818644732
67,val,10-19,439,795,0.5522012578616352
67,val,100-109,0,1,0.0
67,val,20-29,0,68,0.0
67,val,30-39,0,21,0.0
67,val,40-49,0,5,0.0
67,val,50-59,0,3,0.0
67,val,60-69,0,2,0.0
67,val,70-79,0,1,0.0
68,val,0-9,1283,2553,0.5025460242851547
68,val,10-19,444,795,0.5584905660377358
68,val,100-109,0,1,0.0
68,val,20-29,0,68,0.0
68,val,30-39,0,21,0.0
68,val,40-49,0,5,0.0
68,val,50-59,0,3,0.0
68,val,60-69,0,2,0.0
68,val,70-79,0,1,0.0
69,val,0-9,1300,2553,0.509204857030944
69,val,10-19,446,795,0.5610062893081761
69,val,100-109,0,1,0.0
69,val,20-29,0,68,0.0
69,val,30-39,0,21,0.0
69,val,40-49,0,5,0.0
69,val,50-59,0,3,0.0
69,val,60-69,0,2,0.0
69,val,70-79,0,1,0.0
70,val,0-9,1310,2553,0.5131218174696436
70,val,10-19,448,795,0.5635220125786163
70,val,100-109,0,1,0.0
70,val,20-29,0,68,0.0
70,val,30-39,0,21,0.0
70,val,40-49,0,5,0.0
70,val,50-59,0,3,0.0
70,val,60-69,0,2,0.0
70,val,70-79,0,1,0.0
71,val,0-9,1296,2553,0.5076380728554641
