epoch,split,length_bucket,correct,total,sequence_accuracy
23,val,20-29,0,80,0.0
23,val,30-39,0,20,0.0
23,val,40-49,0,9,0.0
23,val,50-59,0,1,0.0
24,val,0-9,1511,2546,0.5934799685781619
24,val,10-19,234,826,0.28329297820823246
24,val,20-29,0,80,0.0
24,val,30-39,0,20,0.0
24,val,40-49,0,9,0.0
24,val,50-59,0,1,0.0
25,val,0-9,1482,2546,0.582089552238806
25,val,10-19,248,826,0.30024213075060535
25,val,20-29,0,80,0.0
25,val,30-39,0,20,0.0
25,val,40-49,0,9,0.0
25,val,50-59,0,1,0.0
26,val,0-9,1653,2546,0.6492537313432836
26,val,10-19,259,826,0.3135593220338983
26,val,20-29,0,80,0.0
26,val,30-39,0,20,0.0
26,val,40-49,0,9,0.0
26,val,50-59,0,1,0.0
27,val,0-9,1716,2546,0.6739984289080911
27,val,10-19,268,826,0.324455205811138
27,val,20-29,0,80,0.0
27,val,30-39,0,20,0.0
27,val,40-49,0,9,0.0
27,val,50-59,0,1,0.0
28,val,0-9,1760,2546,0.6912804399057345
28,val,10-19,285,826,0.3450363196125908
28,val,20-29,0,80,0.0
28,val,30-39,0,20,0.0
28,val,40-49,0,9,0.0
28,val,50-59,0,1,0.0
29,val,0-9,1781,2546,0.699528672427337
29,val,10-19,297,826,0.3595641646489104
29,val,20-29,0,80,0.0
29,val,30-39,0,20,0.0
29,val,40-49,0,9,0.0
29,val,50-59,0,1,0.0
30,val,0-9,1929,2546,0.7576590730557737
30,val,10-19,324,826,0.3922518159806295
30,val,20-29,0,80,0.0
30,val,30-39,0,20,0.0
30,val,40-49,0,9,0.0
30,val,50-59,0,1,0.0
31,val,0-9,1904,2546,0.7478397486252946
31,val,10-19,333,826,0.40314769975786924
31,val,20-29,0,80,0.0
31,val,30-39,0,20,0.0
31,val,40-49,0,9,0.0
31,val,50-59,0,1,0.0
32,val,0-9,1920,2546,0.7541241162608012
32,val,10-19,348,826,0.4213075060532688
32,val,20-29,0,80,0.0
32,val,30-39,0,20,0.0
32,val,40-49,0,9,0.0
32,val,50-59,0,1,0.0
33,val,0-9,2004,2546,0.7871170463472114
33,val,10-19,371,826,0.4491525423728814
33,val,20-29,0,80,0.0
33,val,30-39,0,20,0.0
33,val,40-49,0,9,0.0
33,val,50-59,0,1,0.0
34,val,0-9,2023,2546,0.7945797329143754
34,val,10-19,372,826,0.45036319612590797
34,val,20-29,0,80,0.0
34,val,30-39,0,20,0.0
34,val,40-49,0,9,0.0
34,val,50-59,0,1,0.0
35,val,0-9,2041,2546,0.8016496465043205
35,val,10-19,400,826,0.48426150121065376
35,val,20-29,0,80,0.0
35,val,30-39,0,20,0.0
35,val,40-49,0,9,0.0
35,val,50-59,0,1,0.0
36,val,0-9,2126,2546,0.8350353495679497
36,val,10-19,422,826,0.5108958837772397
36,val,20-29,0,80,0.0
36,val,30-39,0,20,0.0
36,val,40-49,0,9,0.0
36,val,50-59,0,1,0.0
37,val,0-9,2105,2546,0.8267871170463472
37,val,10-19,433,826,0.5242130750605327
37,val,20-29,0,80,0.0
37,val,30-39,0,20,0.0
37,val,40-49,0,9,0.0
37,val,50-59,0,1,0.0
38,val,0-9,2095,2546,0.8228593872741555
38,val,10-19,400,826,0.48426150121065376
38,val,20-29,0,80,0.0
38,val,30-39,0,20,0.0
38,val,40-49,0,9,0.0
38,val,50-59,0,1,0.0
39,val,0-9,2060,2546,0.8091123330714847
39,val,10-19,394,826,0.47699757869249393
39,val,20-29,0,80,0.0
39,val,30-39,0,20,0.0
39,val,40-49,0,9,0.0
39,val,50-59,0,1,0.0
40,val,0-9,2163,2546,0.8495679497250589
40,val,10-19,424,826,0.513317191283293
40,val,20-29,0,80,0.0
40,val,30-39,0,20,0.0
40,val,40-49,0,9,0.0
40,val,50-59,0,1,0.0
41,val,0-9,2185,2546,0.8582089552238806
41,val,10-19,450,826,0.5447941888619855
41,val,20-29,0,80,0.0
41,val,30-39,0,20,0.0
41,val,40-49,0,9,0.0
41,val,50-59,0,1,0.0
42,val,0-9,2202,2546,0.8648860958366065
42,val,10-19,457,826,0.5532687651331719
42,val,20-29,0,80,0.0
42,val,30-39,0,20,0.0
42,val,40-49,0,9,0.0
42,val,50-59,0,1,0.0
43,val,0-9,2198,2546,0.8633150039277298
43,val,10-19,448,826,0.5423728813559322
43,val,20-29,0,80,0.0
43,val,30-39,0,20,0.0
43,val,40-49,0,9,0.0
43,val,50-59,0,1,0.0
44,val,0-9,2195,2546,0.8621366849960723
44,val,10-19,456,826,0.5520581113801453
44,val,20-29,0,80,0.0
44,val,30-39,0,20,0.0
44,val,40-49,0,9,0.0
44,val,50-59,0,1,0.0
45,val,0-9,2232,2546,0.8766692851531814
45,val,10-19,476,826,0.576271186440678
45,val,20-29,0,80,0.0
45,val,30-39,0,20,0.0
45,val,40-49,0,9,0.0
45,val,50-59,0,1,0.0
46,val,0-9,2210,2546,0.8680282796543598
46,val,10-19,472,826,0.5714285714285714
46,val,20-29,0,80,0.0
46,val,30-39,0,20,0.0
46,val,40-49,0,9,0.0
46,val,50-59,0,1,0.0
47,val,0-9,2218,2546,0.8711704634721131
47,val,10-19,471,826,0.5702179176755447
47,val,20-29,0,80,0.0
47,val,30-39,0,20,0.0
47,val,40-49,0,9,0.0
47,val,50-59,0,1,0.0
48,val,0-9,2236,2546,0.8782403770620582
48,val,10-19,486,826,0.5883777239709443
48,val,20-29,0,80,0.0
48,val,30-39,0,20,0.0
48,val,40-49,0,9,0.0
48,val,50-59,0,1,0.0
49,val,0-9,2246,2546,0.8821681068342498
49,val,10-19,485,826,0.5871670702179177
49,val,20-29,0,80,0.0
49,val,30-39,0,20,0.0
49,val,40-49,0,9,0.0
49,val,50-59,0,1,0.0
50,val,0-9,2253,2546,0.884917517674784
50,val,10-19,491,826,0.5944309927360775
50,val,20-29,0,80,0.0
50,val,30-39,0,20,0.0
50,val,40-49,0,9,0.0
50,val,50-59,0,1,0.0
51,val,0-9,2257,2546,0.8864886095836606
51,val,10-19,486,826,0.5883777239709443
51,val,20-29,0,80,0.0
51,val,30-39,0,20,0.0
51,val,40-49,0,9,0.0
51,val,50-59,0,1,0.0
52,val,0-9,2276,2546,0.8939512961508248
52,val,10-19,501,826,0.6065375302663438
52,val,20-29,0,80,0.0
52,val,30-39,0,20,0.0
52,val,40-49,0,9,0.0
52,val,50-59,0,1,0.0
53,val,0-9,2274,2546,0.8931657501963864
53,val,10-19,503,826,0.6089588377723971
53,val,20-29,0,80,0.0
53,val,30-39,0,20,0.0
53,val,40-49,0,9,0.0
53,val,50-59,0,1,0.0
54,val,0-9,2248,2546,0.8829536527886881
54,val,10-19,503,826,0.6089588377723971
54,val,20-29,0,80,0.0
