epoch,split,length_bucket,correct,total,sequence_accuracy
65,val,60-69,0,7,0.0
65,val,70-79,0,1,0.0
66,val,0-9,7244,12659,0.5722410932933091
66,val,10-19,2863,4083,0.701200097967181
66,val,20-29,156,335,0.46567164179104475
66,val,30-39,28,107,0.2616822429906542
66,val,40-49,4,43,0.09302325581395349
66,val,50-59,0,13,0.0
66,val,60-69,0,7,0.0
66,val,70-79,0,1,0.0
67,val,0-9,7315,12659,0.5778497511651789
67,val,10-19,2855,4083,0.6992407543472936
67,val,20-29,159,335,0.4746268656716418
67,val,30-39,22,107,0.205607476635514
67,val,40-49,4,43,0.09302325581395349
67,val,50-59,0,13,0.0
67,val,60-69,0,7,0.0
67,val,70-79,0,1,0.0
68,val,0-9,7335,12659,0.5794296547910578
68,val,10-19,2905,4083,0.7114866519715896
68,val,20-29,159,335,0.4746268656716418
68,val,30-39,26,107,0.24299065420560748
68,val,40-49,3,43,0.06976744186046512
68,val,50-59,0,13,0.0
68,val,60-69,0,7,0.0
68,val,70-79,0,1,0.0
69,val,0-9,7311,12659,0.5775337704400032
69,val,10-19,2913,4083,0.7134459955914768
69,val,20-29,161,335,0.48059701492537316
69,val,30-39,33,107,0.308411214953271
69,val,40-49,5,43,0.11627906976744186
69,val,50-59,0,13,0.0
69,val,60-69,0,7,0.0
69,val,70-79,0,1,0.0
70,val,0-9,7348,12659,0.5804565921478789
70,val,10-19,2912,4083,0.713201077638991
70,val,20-29,155,335,0.4626865671641791
70,val,30-39,30,107,0.2803738317757009
70,val,40-49,5,43,0.11627906976744186
70,val,50-59,0,13,0.0
70,val,60-69,0,7,0.0
70,val,70-79,0,1,0.0
71,val,0-9,7344,12659,0.5801406114227032
71,val,10-19,2944,4083,0.7210384521185403
71,val,20-29,177,335,0.5283582089552239
71,val,30-39,36,107,0.3364485981308411
71,val,40-49,3,43,0.06976744186046512
71,val,50-59,1,13,0.07692307692307693
71,val,60-69,0,7,0.0
71,val,70-79,0,1,0.0
72,val,0-9,7383,12659,0.583221423493167
72,val,10-19,2938,4083,0.7195689444036247
72,val,20-29,166,335,0.4955223880597015
72,val,30-39,27,107,0.2523364485981308
72,val,40-49,7,43,0.16279069767441862
72,val,50-59,0,13,0.0
72,val,60-69,0,7,0.0
72,val,70-79,0,1,0.0
73,val,0-9,7404,12659,0.5848803223003397
73,val,10-19,2930,4083,0.7176096007837375
73,val,20-29,175,335,0.5223880597014925
73,val,30-39,32,107,0.29906542056074764
73,val,40-49,4,43,0.09302325581395349
73,val,50-59,1,13,0.07692307692307693
73,val,60-69,0,7,0.0
73,val,70-79,0,1,0.0
74,val,0-9,7444,12659,0.5880401295520973
74,val,10-19,2961,4083,0.7252020573108009
74,val,20-29,173,335,0.5164179104477612
74,val,30-39,33,107,0.308411214953271
74,val,40-49,4,43,0.09302325581395349
74,val,50-59,0,13,0.0
74,val,60-69,0,7,0.0
74,val,70-79,0,1,0.0
75,val,0-9,7393,12659,0.5840113753061064
75,val,10-19,2965,4083,0.7261817291207445
75,val,20-29,184,335,0.5492537313432836
75,val,30-39,38,107,0.35514018691588783
75,val,40-49,6,43,0.13953488372093023
75,val,50-59,1,13,0.07692307692307693
75,val,60-69,0,7,0.0
75,val,70-79,0,1,0.0
76,val,0-9,7440,12659,0.5877241488269216
76,val,10-19,2986,4083,0.7313250061229488
76,val,20-29,183,335,0.5462686567164179
76,val,30-39,35,107,0.32710280373831774
76,val,40-49,6,43,0.13953488372093023
76,val,50-59,0,13,0.0
76,val,60-69,0,7,0.0
76,val,70-79,0,1,0.0
77,val,0-9,7488,12659,0.5915159175290308
77,val,10-19,2983,4083,0.730590252265491
77,val,20-29,185,335,0.5522388059701493
77,val,30-39,44,107,0.411214953271028
77,val,40-49,5,43,0.11627906976744186
77,val,50-59,0,13,0.0
77,val,60-69,0,7,0.0
77,val,70-79,0,1,0.0
78,val,0-9,7519,12659,0.5939647681491429
78,val,10-19,2983,4083,0.730590252265491
78,val,20-29,188,335,0.5611940298507463
78,val,30-39,41,107,0.38317757009345793
78,val,40-49,7,43,0.16279069767441862
78,val,50-59,0,13,0.0
78,val,60-69,0,7,0.0
78,val,70-79,0,1,0.0
79,val,0-9,7530,12659,0.5948337151433762
79,val,10-19,2969,4083,0.7271614009306883
79,val,20-29,192,335,0.573134328358209
79,val,30-39,45,107,0.4205607476635514
79,val,40-49,8,43,0.18604651162790697
79,val,50-59,0,13,0.0
79,val,60-69,0,7,0.0
79,val,70-79,0,1,0.0
80,val,0-9,7562,12659,0.5973615609447823
80,val,10-19,2996,4083,0.7337741856478079
80,val,20-29,191,335,0.5701492537313433
80,val,30-39,50,107,0.4672897196261682
80,val,40-49,8,43,0.18604651162790697
80,val,50-59,1,13,0.07692307692307693
80,val,60-69,0,7,0.0
80,val,70-79,0,1,0.0
81,val,0-9,7515,12659,0.5936487874239671
81,val,10-19,3028,4083,0.7416115601273573
81,val,20-29,205,335,0.6119402985074627
81,val,30-39,45,107,0.4205607476635514
81,val,40-49,6,43,0.13953488372093023
81,val,50-59,1,13,0.07692307692307693
81,val,60-69,0,7,0.0
81,val,70-79,0,1,0.0
82,val,0-9,7512,12659,0.5934118018800854
82,val,10-19,3030,4083,0.7421013960323292
82,val,20-29,208,335,0.6208955223880597
82,val,30-39,47,107,0.4392523364485981
82,val,40-49,7,43,0.16279069767441862
82,val,50-59,2,13,0.15384615384615385
82,val,60-69,0,7,0.0
82,val,70-79,0,1,0.0
83,val,0-9,7543,12659,0.5958606525001975
83,val,10-19,3025,4083,0.7408768062698996
83,val,20-29,217,335,0.6477611940298508
83,val,30-39,51,107,0.4766355140186916
83,val,40-49,8,43,0.18604651162790697
83,val,50-59,1,13,0.07692307692307693
83,val,60-69,0,7,0.0
83,val,70-79,0,1,0.0
84,val,0-9,7548,12659,0.5962556284066672
84,val,10-19,3044,4083,0.745530247367132
84,val,20-29,212,335,0.6328358208955224
84,val,30-39,50,107,0.4672897196261682
84,val,40-49,9,43,0.20930232558139536
84,val,50-59,1,13,0.07692307692307693
84,val,60-69,0,7,0.0
84,val,70-79,0,1,0.0
85,val,0-9,7569,12659,0.59791452721384
85,val,10-19,3034,4083,0.7430810678422728
85,val,20-29,219,335,0.6537313432835821
85,val,30-39,48,107,0.4485981308411215
85,val,40-49,8,43,0.18604651162790697
85,val,50-59,0,13,0.0
85,val,60-69,0,7,0.0
85,val,70-79,0,1,0.0
86,val,0-9,7632,12659,0.6028912236353583
86,val,10-19,3056,4083,0.748469262796963
86,val,20-29,215,335,0.6417910447761194
86,val,30-39,46,107,0.42990654205607476
86,val,40-49,12,43,0.27906976744186046
86,val,50-59,2,13,0.15384615384615385
86,val,60-69,0,7,0.0
86,val,70-79,0,1,0.0
87,val,0-9,7611,12659,0.6012323248281854
87,val,10-19,3067,4083,0.7511633602743081
87,val,20-29,215,335,0.6417910447761194
87,val,30-39,48,107,0.4485981308411215
87,val,40-49,7,43,0.16279069767441862
87,val,50-59,1,13,0.07692307692307693
87,val,60-69,0,7,0.0
87,val,70-79,0,1,0.0
88,val,0-9,7605,12659,0.6007583537404219
88,val,10-19,3084,4083,0.7553269654665687
88,val,20-29,218,335,0.6507462686567164
88,val,30-39,55,107,0.514018691588785
88,val,40-49,8,43,0.18604651162790697
88,val,50-59,0,13,0.0
88,val,60-69,0,7,0.0
88,val,70-79,0,1,0.0
89,val,0-9,7620,12659,0.601943281459831
89,val,10-19,3065,4083,0.7506735243693363
89,val,20-29,218,335,0.6507462686567164
89,val,30-39,49,107,0.45794392523364486
89,val,40-49,10,43,0.23255813953488372
89,val,50-59,1,13,0.07692307692307693
89,val,60-69,0,7,0.0
89,val,70-79,0,1,0.0
90,val,0-9,7613,12659,0.6013903151907734
90,val,10-19,3064,4083,0.7504286064168504
90,val,20-29,224,335,0.6686567164179105
90,val,30-39,51,107,0.4766355140186916
90,val,40-49,10,43,0.23255813953488372
90,val,50-59,1,13,0.07692307692307693
90,val,60-69,0,7,0.0
90,val,70-79,0,1,0.0
91,val,0-9,7588,12659,0.5994154356584248
91,val,10-19,3057,4083,0.748714180749449
91,val,20-29,218,335,0.6507462686567164
91,val,30-39,51,107,0.4766355140186916
91,val,40-49,8,43,0.18604651162790697
91,val,50-59,1,13,0.07692307692307693
91,val,60-69,0,7,0.0
91,val,70-79,0,1,0.0
92,val,0-9,7599,12659,0.6002843826526582
92,val,10-19,3080,4083,0.754347293656625
92,val,20-29,222,335,0.6626865671641791
92,val,30-39,55,107,0.514018691588785
92,val,40-49,8,43,0.18604651162790697
92,val,50-59,1,13,0.07692307692307693
92,val,60-69,0,7,0.0
92,val,70-79,0,1,0.0
93,val,0-9,7626,12659,0.6024172525475946
93,val,10-19,3074,4083,0.7528777859417095
93,val,20-29,225,335,0.6716417910447762
93,val,30-39,56,107,0.5233644859813084
93,val,40-49,9,43,0.20930232558139536
93,val,50-59,1,13,0.07692307692307693
93,val,60-69,0,7,0.0
93,val,70-79,0,1,0.0
94,val,0-9,7622,12659,0.6021012718224188
94,val,10-19,3081,4083,0.7545922116091109
94,val,20-29,226,335,0.6746268656716418
94,val,30-39,51,107,0.4766355140186916
94,val,40-49,8,43,0.18604651162790697
94,val,50-59,0,13,0.0
94,val,60-69,0,7,0.0
94,val,70-79,0,1,0.0
95,val,0-9,7619,12659,0.601864286278537
95,val,10-19,3075,4083,0.7531227038941954
95,val,20-29,221,335,0.6597014925373135
95,val,30-39,54,107,0.5046728971962616
95,val,40-49,9,43,0.20930232558139536
95,val,50-59,1,13,0.07692307692307693
95,val,60-69,0,7,0.0
95,val,70-79,0,1,0.0
96,val,0-9,7613,12659,0.6013903151907734
96,val,10-19,3075,4083,0.7531227038941954
96,val,20-29,222,335,0.6626865671641791
96,val,30-39,56,107,0.5233644859813084
96,val,40-49,9,43,0.20930232558139536
96,val,50-59,1,13,0.07692307692307693
96,val,60-69,0,7,0.0
96,val,70-79,0,1,0.0
97,val,0-9,7627,12659,0.6024962477288885
97,val,10-19,3075,4083,0.7531227038941954
97,val,20-29,224,335,0.6686567164179105
97,val,30-39,55,107,0.514018691588785
97,val,40-49,9,43,0.20930232558139536
97,val,50-59,1,13,0.07692307692307693
97,val,60-69,0,7,0.0
97,val,70-79,0,1,0.0
98,val,0-9,7633,12659,0.6029702188166521
98,val,10-19,3079,4083,0.7541023757041391
98,val,20-29,223,335,0.6656716417910448
98,val,30-39,55,107,0.514018691588785
98,val,40-49,9,43,0.20930232558139536
98,val,50-59,1,13,0.07692307692307693
98,val,60-69,0,7,0.0
98,val,70-79,0,1,0.0
99,val,0-9,7630,12659,0.6027332332727704
99,val,10-19,3076,4083,0.7533676218466814
99,val,20-29,223,335,0.6656716417910448
99,val,30-39,56,107,0.5233644859813084
99,val,40-49,9,43,0.20930232558139536
99,val,50-59,1,13,0.07692307692307693
99,val,60-69,0,7,0.0
99,val,70-79,0,1,0.0
100,val,0-9,7625,12659,0.6023382573663006
100,val,10-19,3076,4083,0.7533676218466814
100,val,20-29,223,335,0.6656716417910448
100,val,30-39,56,107,0.5233644859813084
100,val,40-49,9,43,0.20930232558139536
100,val,50-59,1,13,0.07692307692307693
100,val,60-69,0,7,0.0
100,val,70-79,0,1,0.0
100,test,0-9,7719,12692,0.6081783800819414
100,test,10-19,3088,4073,0.7581635158359932
100,test,100-109,0,1,0.0
100,test,20-29,211,352,0.5994318181818182
100,test,30-39,26,81,0.32098765432098764
100,test,40-49,12,40,0.3
100,test,50-59,0,8,0.0
100,test,60-69,0,1,0.0
100,test,70-79,0,1,0.0
100,test,90-99,0,1,0.0
