ID	ROOT	ROOT_NTWS	ROOT_1	LEMMA	LEMMA_SEARCH	FORM	LEMMA_BW	FORM_BW	CAPHI++	ANALYSIS	GLOSS	GLOSS_MSA	EXAMPLE_USAGE	NOTES	SOURCE	ANNOTATOR
91	ء.خ.ذ		ء	أَخَذ	أخذ	أَخَذْنَا عَبَعَض	>axa*	>axa*onaA EabaEaD	2 a kh a D n a # 3 a b a 3 a d.	VERB:PHRASE	get_used_to_sb	يَعْـتاد على شخص	لساتنا عرسان جداد ما أخَذْنا عبعض			شهد دعباس
92	ء.خ.ذ		ء	أَخَذ	أخذ	أَخَذ من أَبُوه	>axa*	>axa* mn >abuwh	2 a kh a D # m i n # 2 a b uu	VERB:PHRASE	take_after_sb		حسام أخَذ من أبوه كثير بالذات بالكشرة			شهد دعباس
93	ء.خ.ذ		ء	مَاخِذ	ماخذ	مَاخِذ عَالْوَضِع	maAxi*	maAxi* EaAlowaDiE	m aa kh i D # 3 a l w a D. i 3	NOUN_ACT:PHRASE	get_used_to_the_situation;acclimatize_oneself_to_sth		والله لسة مش ماخِذ عالوضع بس بحاول أتأقلم			شهد دعباس
94	ء.خ.ذ		ء	آخَذ	آخذ	آخِذ	|xa*	|xi*	2 aa kh i Z	VERB:C	blame_[auto]					شهد دعباس
95	ء.خ.ذ		ء	أَخَذ	أخذ	خُذ	>axa*	xu*	kh u D	VERB:C	take_[auto]		خذ هالجمبية نام عليها			عمر سعدي
96	ء.خ.ذ		ء	آخَذ	آخذ	يآخِذ	|xa*	y|xi*	y 2 aa kh i Z	VERB:I	blame	يُؤاخِذ	لا تْآخذنا! ثَقَّلْنا عليك. بخاطرك!			شهد دعباس
97	ء.خ.ذ		ء	أَخَذ	أخذ	يَوخِذ	>axa*	yawxi*	y oo kh i D	VERB:I	take	يَأخُذ				شهد دعباس
98	ء.خ.ذ		ء	أَخَذ	أخذ	يَاخُذ	>axa*	yaAxu*	y aa kh u D	VERB:I	take;get_married_to_sb	يَأخُذ#يتزوَّج من شخص	مش راضي ياخُذ مني أي مصاري			شهد دعباس
99	ء.خ.ذ		ء	آخَذ	آخذ	آخَذ	|xa*	|xa*	2 aa kh a Z	VERB:P	blame_[auto]					شهد دعباس
100	ء.خ.ذ		ء	أَخَذ	أخذ	أَخَذ	>axa*	>axa*	2 a kh a D	VERB:P	take_[auto]		مين أخذت بنت السريدي؟			شهد دعباس
101	ء.خ.ذ		ء	وَخَذ	وخذ	وَخَذ	waxa*	waxa*	w a kh a dh	VERB:P	take_[auto]					شهد دعباس
102	ء.خ.ذ		ء	وَخَذ	وخذ	يَوخِذ	waxa*	yawxi*	y oo kh i dh	VERB:I	take_[auto]					شهد دعباس
103	ء.خ.ذ		ء	وَخَذ	وخذ	خُذ	waxa*	xu*	kh u dh	VERB:C	take_[auto]					شهد دعباس
104	ء.خ.ذ		ء	وَاخَذ	واخذ	وَاخَذ	waAxa*	waAxa*	w aa kh a Z	VERB:P	blame_[auto]					شهد دعباس
105	ء.خ.ذ		ء	وَاخَذ	واخذ	يوَاخِذ	waAxa*	ywaAxi*	y w aa kh i Z	VERB:I	blame	يُؤاخِذ	يارب لاتواخذنا! الواحد نفسه ضعيفة.			شهد دعباس
106	ء.خ.ذ		ء	وَاخَذ	واخذ	وَاخِذ	waAxa*	waAxi*	w aa kh i Z	VERB:C	blame_[auto]					شهد دعباس
107	ء.خ.ذ		ء	أَخْذ	أخذ	أَخْذ	>axo*	>axo*	2 a kh D	NOUN:MS	taking_sth		هاي المرة كرنيبة متعودة عالأخْذ بس. مستحيل تشوف منها لا عزومة ولا سخام!			شهد دعباس
108	ء.خ.ذ		ء	مْوَاخَذِة	مواخذة	مْوَاخَذِة	mowaAxa*ip	mowaAxa*ip	m w aa kh a Z e	NOUN:FS	blaming					شهد دعباس
109	ء.خ.ذ		ء	مُؤَاخَذِة	مؤاخذة	مُؤَاخَذِة	mu&aAxa*ip	mu&aAxa*ip	m u 2 aa kh a Z e	NOUN:FS	blaming					شهد دعباس
110	ء.خ.ذ		ء	مُؤَاخَذِة	مؤاخذة	عدم المؤَاخذة	mu&aAxa*ip	Edm Alm&aAx*p	3 a d a m # 2 i l m u 2 aa kh a Z e	NOUN:PHRASE	it_is_an_expression_that_means_"sorry"_or_"with_no_offense"		اخوتك عدم المؤاخذة عطّالين بطّالين			شهد دعباس
